code,common_name
BCHH,Blue-chested Hummingbird
BCRC,Blue-crowned Chlorophonia
BFBO,Blue-footed Booby
BFPA,Blue-fronted Parrotlet
BGGN,Blue-gray Gnatcatcher
BGNO,Blue-gray Noddy
BGTA,Blue-gray Tanager
BHHU,Blue-headed Hummingbird
BHEP,Blue-headed Parrot
BHQD,Blue-headed Quail-Dove
BHVI,Blue-headed Vireo
BTAH,Blue-tailed Hummingbird
BLUE,Bluethroat
BTRG,Blue-throated Goldentail
BTMO,Blue-throated Motmot
BTMG,Blue-throated Mountain-gem
BVHU,Blue-vented Hummingbird
GBWH,Blue-wg. x Golden-wg. Warbler Hybrid
BWTE,Blue-winged Teal
BWWA,Blue-winged Warbler
BCTE,Blue-winged/Cinnamon Teal
BREW,Blyth's Reed Warbler
BOBF,Boat-billed Flycatcher
BBHE,Boat-billed Heron
BTGR,Boat-tailed Grackle
BOBO,Bobolink
BOWA,Bohemian Waxwing
BOGU,Bonaparte's Gull
BOPE,Bonin Petrel
BOCH,Boreal Chickadee
BOOW,Boreal Owl
BOSP,Botteri's Sparrow
BOWR,Boucard's Wren
BREM,Brace's Emerald
BRAM,Brambling
BCOF,Bran-colored Flycatcher
BRAC,Brandt's Cormorant
BRAN,Brant
BRBL,Brewer's Blackbird
BRSP,Brewer's Sparrow
BRWA,Brewster's Warbler
BRQD,Bridled Quail-Dove
BRIS,Bridled Sparrow
BRTE,Bridled Tern
BRTI,Bridled Titmouse
BRAT,Bright-rumped Attila
BTCU,Bristle-thighed Curlew
BBIH,Broad-billed Hummingbird
BBMO,Broad-billed Motmot
BBIS,Broad-billed Sandpiper
BBTO,Broad-billed Tody
BTHU,Broad-tailed Hummingbird
BWHA,Broad-winged Hawk
BRMA,Bronze Mannikin
BROC,Bronzed Cowbird
BOPT,Bronze-olive Pygmy-Tyrant
BTPL,Bronze-tailed Plumeleteer
BRHE,Bronzy Hermit
BRBO,Brown Booby
BRCR,Brown Creeper
BRJA,Brown Jay
BRNO,Brown Noddy
BRPE,Brown Pelican
BROS,Brown Shrike
BRTH,Brown Thrasher
BRTR,Brown Trembler
BRVI,Brown Violetear
BBSO,Brown-backed Solitaire
BBSC,Brown-billed Scythebill
BCRF,Brown-capped Rosy-Finch
BCTY,Brown-capped Tyrannulet
BCAV,Brown-capped Vireo
BCMA,Brown-chested Martin
BCFL,Brown-crested Flycatcher
BHCO,Brown-headed Cowbird
BHNU,Brown-headed Nuthatch
BHOP,Brown-hooded Parrot
BRTW,Brownish Twistwing
BTPA,Brown-throated Parakeet
BRYS,Bryan's Shearwater
BBEH,Buff-bellied Hummingbird
BBFL,Buff-breasted Flycatcher
BBSA,Buff-breasted Sandpiper
BBRW,Buff-breasted Wren
BCNI,Buff-collared Nightjar
BFFG,Buff-fronted Foliage-gleaner
BFQD,Buff-fronted Quail-Dove
BUFF,Bufflehead
BNIB,Buff-necked Ibis
BURW,Buff-rumped Warbler
BTSA,Buff-throated Saltator
BUTU,Buffy Tuftedcheek
BCWP,Buffy-crowned Wood-Partridge
BULS,Buller's Shearwater
BUOR,Bullock's Oriole
BBOH,Bullock's x Baltimore Oriole Hybrid
BUPE,Bulwer's Petrel
BUHU,Bumblebee Hummingbird
BUOW,Burrowing Owl
BUSH,Bushtit
BCRJ,Bushy-crested Jay
CAGS,Cabanis's Ground-Sparrow
CABW,Cabanis's Wren
CACG,Cackling Goose
CCGO,Cackling/Canada Goose
CACW,Cactus Wren
CBRA,California Black Rail
CACO,California Condor
CAGN,California Gnatcatcher
CAGU,California Gull
CLTE,California Least Tern
CAQU,California Quail
