code,common_name
SLCF,Slaty-capped Flycatcher
STTR,Slaty-tailed Trogon
SWFG,Slaty-winged Foliage-gleaner
SLSH,Slender Sheartail
SBCU,Slender-billed Curlew
SBGR,Slender-billed Grackle
SBKI,Slender-billed Kite
SCGO,Small Canada Goose
SBEL,Small-billed Elaenia
SMEW,Smew
SMLO,Smith's Longspur
SMBW,Smoky-brown Woodpecker
SBAN,Smooth-billed Ani
SNKI,Snail Kite
SNBU,Snow Bunting
SNGO,Snow Goose
SRGH,Snow X Ross's Goose Hybrid
SRGO,Snow/Ross's Goose
SNOC,Snowcap
SNCO,Snowy Cotinga
SNEG,Snowy Egret
SNOW,Snowy Owl
SNPL,Snowy Plover
SBEH,Snowy-bellied Hummingbird
SOFL,Social Flycatcher
SODO,Socorro Dove
SOMO,Socorro Mockingbird
SOPA,Socorro Parakeet
SOCW,Socorro Wren
SOEA,Solitary Eagle
SOSA,Solitary Sandpiper
SOSN,Solitary Snipe
SOVI,Solitary Vireo
SOSP,Song Sparrow
SOTH,Song Thrush
SONW,Song Wren
SOGR,Sooty Grouse
SOSH,Sooty Shearwater
SOTE,Sooty Tern
SOOT,Sooty Thrush
SCCH,Sooty-capped Chlorospingus
SFFI,Sooty-faced Finch
SHTY,Sooty-headed Tyrannulet
SHEW,Sooty-headed Wren
SORA,Sora
SPSK,South Polar Skua
SOBT,Southern Beardless-Tyrannulet
SOBE,Southern Bentbill
SHOW,Southern House Wren
SOHW,Southern House-Wren
SOLA,Southern Lapwing
SOMA,Southern Martin
SRWS,Southern Rough-winged Swallow
SWFL,Southwestern Willow Flycatcher
SCHT,Spangle-cheeked Tanager
SKTH,Sparkling-tailed Hummingbird
SPMO,Speckled Mourner
SPTA,Speckled Tanager
SPEI,Spectacled Eider
SPEO,Spectacled Owl
SPPA,Spectacled Parrotlet
SPTH,Spectacled Thrush
SFAN,Spiny-faced Antshrike
SBSA,Spoon-billed Sandpiper
SBBO,Spot-bellied Bobwhite
SBOR,Spot-breasted Oriole
SBWP,Spot-breasted Woodpecker
SOBW,Spot-breasted Wren
SPCA,Spot-crowned Antvireo
SCBA,Spot-crowned Barbet
SPCE,Spot-crowned Euphonia
SCRW,Spot-crowned Woodcreeper
SFSW,Spot-fronted Swift
SPTN,Spot-tailed Nightjar
SPAN,Spotted Antbird
SPBA,Spotted Barbtail
SPCR,Spotted Crake
SPDO,Spotted Dove
SPFL,Spotted Flycatcher
SPOW,Spotted Owl
SPRA,Spotted Rail
SPRE,Spotted Redshank
SPSA,Spotted Sandpiper
SPTO,Spotted Towhee
SPWO,Spotted Woodcreeper
SPWQ,Spotted Wood-Quail
SPWR,Spotted Wren
SBOH,Spotted x Barred Owl Hybrid
SPPI,Sprague's Pipit
SPGR,Spruce Grouse
SKBU,St. Kitts Bullfinch
SLAM,St. Lucia Amazon
SLBF,St. Lucia Black Finch
SLOR,St. Lucia Oriole
SLTH,St. Lucia Thrasher
SLWA,St. Lucia Warbler
SLWR,St. Lucia Wren
SVAM,St. Vincent Amazon
SVWR,St. Vincent Wren
STPE,Stejneger's Petrel
STSC,Stejneger's Scoter
STEI,Steller's Eider
STJA,Steller's Jay
STSE,Steller's Sea-Eagle
STSA,Stilt Sandpiper
STOF,Stolid Flycatcher
SGBW,Straight-billed Woodcreeper
SBAO,Streak-backed Oriole
SBTR,Streak-breasted Treehunter
SCHA,Streak-chested Antpitta
STCA,Streak-crowned Antvireo
STRF,Streaked Flycatcher
SHLA,Streaked Horned Lark
SSAL,Streaked Saltator
STRS,Streaked Shearwater
STXE,Streaked Xenops
SHWO,Streak-headed Woodcreeper
STRH,Striated Heron
STCW,Strickland's Woodpecker
SIBW,Stripe-breasted Wren
SCHW,Stripe-cheeked Woodpecker
STCU,Striped Cuckoo
STRO,Striped Owl
SSPA,Striped Sparrow
STPW,Striped Woodhaunter
SHSP,Stripe-headed Sparrow
STHM,Stripe-tailed Hummingbird
STHR,Stripe-throated Hermit
STWR,Stripe-throated Wren
SNBW,Strong-billed Woodcreeper
SBTS,Stub-tailed Spadebill
STOW,Stygian Owl
SBFL,Sulphur-bellied Flycatcher
SRFL,Sulphur-rumped Flycatcher
SURT,Sulphur-rumped Tanager
SWPA,Sulphur-winged Parakeet
SUWR,Sumichrast's Wren
SUTA,Summer Tanager
SUNB,Sunbittern
SUNG,Sungrebe
SUSC,Surf Scoter
SURF,Surfbird
SUWA,Sutton's Warbler
SWHA,Swainson's Hawk
SWTH,Swainson's Thrush
SWWA,Swainson's Warbler
SWTA,Swallow Tanager
STGU,Swallow-tailed Gull
STKI,Swallow-tailed Kite
SWSP,Swamp Sparrow
SSTP,Swinhoe's Storm-Petrel
TACH,Tacarcuna Chlorospingus
TATA,Tacarcuna Tapaculo
TAWA,Tacarcuna Warbler
TAWQ,Tacarcuna Wood-Quail
TAPE,Tahiti Petrel
TABG,Taiga Bean-Goose
TAFL,Taiga Flycatcher
TAHU,Talamanca Hummingbird
TACR,Tamaulipas Crow
TAPO,Tamaulipas Pygmy-Owl
TBFL,Tawny-breasted Flycatcher
TCEU,Tawny-capped Euphonia
TCFL,Tawny-chested Flycatcher
TCNI,Tawny-collared Nightjar
TCTA,Tawny-crested Tanager
TCGR,Tawny-crowned Greenlet
TFGN,Tawny-faced Gnatwren
TFQU,Tawny-faced Quail
TSBL,Tawny-shouldered Blackbird
TTLE,Tawny-throated Leaftosser
TWWO,Tawny-winged Woodcreeper
TEST,Temminck's Stint
TEWA,Tennessee Warbler
TESA,Terek Sandpiper
THGU,Thayer's Gull
TKGU,Thayer's/Kumlien's Gull
TBEU,Thick-billed Euphonia
TBKI,Thick-billed Kingbird
TBLO,Thick-billed Longspur
TBMU,Thick-billed Murre
TBPA,Thick-billed Parrot
TBSF,Thick-billed Seed-Finch
TBVI,Thick-billed Vireo
TBWA,Thick-billed Warbler
THAN,Thicket Antpitta
THTI,Thicket Tinamou
TWBE,Three-wattled Bellbird
TIWR,Timberline Wren
TIHA,Tiny Hawk
TOMO,Tody Motmot
TBHU,Tooth-billed Hummingbird
TOTY,Torrent Tyrannulet
TOSH,Townsend's Shearwater
TOSO,Townsend's Solitaire
TOSP,Townsend's Storm-Petrel
TOWA,Townsend's Warbler
THWH,Townsend's x Hermit Warbler Hybrid
TRFL,Traill's Flycatcher
TRJA,Transvolcanic Jay
TRPI,Tree Pipit
TRES,Tree Swallow
TMHU,Tres Marias Hummingbird
TRBL,Tricolored Blackbird
TRHE,Tricolored Heron
TRMU,Tricolored Munia
TRPE,Trindade Petrel
TRSP,Tristram's Storm-Petrel
TRKI,Tropical Kingbird
TRMO,Tropical Mockingbird
TRPA,Tropical Parula
TROP,Tropical Pewee
TRSO,Tropical Screech-Owl
TRUS,Trumpeter Swan
TUDU,Tufted Duck
TUFL,Tufted Flycatcher
TUJA,Tufted Jay
TUPU,Tufted Puffin
TUTI,Tufted Titmouse
TWFG,Tule Greater White-fronted Goose
TUBG,Tundra Bean-Goose
TUSW,Tundra Swan
TUVU,Turkey Vulture
TUCO,Turquoise Cotinga
TBMO,Turquoise-browed Motmot
TCHU,Turquoise-crowned Hummingbird
TUQD,Tuxtla Quail-Dove
UAIH,Ula-ai-hawane
UNJA,Unicolored Jay
UAHA,Unidentified Accipiter/Astur Hawk
UNBI,Unidentified Bird
UNBL,Unidentified Blackbird
UNCH,Unidentified Chickadee
UNCR,Unidentified Crow
UNDO,Unidentified Dowitcher
UNDU,Unidentified Duck
UNEM,Unidentified Empidonax
UNFL,Unidentified Flycatcher
UNGO,Unidentified Goose
UHFI,Unidentified Haemorhous Finch
UNHA,Unidentified Hawk
UNHU,Unidentified Hummingbird
UNLG,Unidentified Larus Gull
UNOW,Unidentified Owl
UNPE,Unidentified Pewee
UPTA,Unidentified Piranga Tanager
URST,Unidentified Rufous-sided Towhee
SAGS,Unidentified Sage Sparrow
UNSA,Unidentified Sapsucker
USHU,Unidentified Selasphorus Hummingbird
UNSP,Unidentified Sparrow
UNSW,Unidentified Swallow
UNTH,Unidentified Thrush
UNVI,Unidentified Vireo
UNWA,Unidentified Warbler
UNWV,Unidentified Warbling-Vireo
UNWO,Unidentified Woodpecker
UNWR,Unidentified Wren
UNIC,Uniform Crake
USWO,Unspotted Saw-whet Owl
UPSA,Upland Sandpiper
VASE,Variable Seedeater
VABU,Varied Bunting
VASO,Varied Solitaire
VATH,Varied Thrush
VAFL,Variegated Flycatcher
VASW,Vaux's Swift
VEER,Veery
VEGU,Vega Gull
VESC,Velvet Scoter
VELM,Velvety Manakin
VETR,Venezuelan Troupial
VEWR,Veracruz Wren
VERM,Veraguan Mango
VERD,Verdin
VEFL,Vermilion Flycatcher
VEHU,Vervain Hummingbird
VESP,Vesper Sparrow
VIWE,Village Weaver
VIQD,Violaceous Quail-Dove
VISA,Violet Sabrewing
VBHU,Violet-bellied Hummingbird
VCAH,Violet-capped Hummingbird
VCHU,Violet-crowned Hummingbird
VGSW,Violet-green Swallow
VHHU,Violet-headed Hummingbird
VIRA,Virginia Rail
VIWA,Virginia's Warbler
VIDA,Viridian Dacnis
VITW,Vitelline Warbler
VOHU,Volcano Hummingbird
VOJU,Volcano Junco
WAAL,Wandering Albatross
WATA,Wandering Tattler
WAWE,Warbling White-eye
WAJA,Wattled Jacana
WAVA,Waved Albatross
WBWO,Wedge-billed Woodcreeper
WRSP,Wedge-rumped Storm-Petrel
WTGF,Wedge-tailed Grass-Finch
WTSA,Wedge-tailed Sabrewing
WTSH,Wedge-tailed Shearwater
WIWD,West Indian Whistling-Duck
WIWO,West Indian Woodpecker
WMCH,West Mexican Chachalaca
WMEU,West Mexican Euphonia
WEBL,Western Bluebird
WECE,Western Cattle-Egret
WECT,Western Chat-Tanager
WEFL,Western Flycatcher
WEGR,Western Grebe
WEGU,Western Gull
WEHM,Western House-Martin
WEKI,Western Kingbird
WMHA,Western Marsh Harrier
WEME,Western Meadowlark
WPWA,Western Palm Warbler
WERH,Western Reef-Heron
WESA,Western Sandpiper
WESO,Western Screech-Owl
WSPL,Western Snowy Plover
WESP,Western Spindalis
WETA,Western Tanager
WEWV,Western Warbling-Vireo
WEWR,Western Water-Rail
WEWP,Western Wood-Pewee
WGWH,Western X Glaucous-winged Gull Hybrid
WCGR,Western/Clark's Grebe
WHIM,Whimbrel
WHAU,Whiskered Auklet
WHSO,Whiskered Screech-Owl
WHTE,Whiskered Tern
WHHE,Whistling Heron
WHSW,Whistling Swan
WHIW,Whistling Warbler
WHHA,White Hawk
WHIB,White Ibis
WHWA,White Wagtail
WBEA,White-bellied Antbird
WBCH,White-bellied Chachalaca
WBEM,White-bellied Emerald
WBMG,White-bellied Mountain-gem
WBWR,White-bellied Wren
WBNU,White-breasted Nuthatch
WBWW,White-breasted Wood-Wren
WBGN,White-browed Gnatcatcher
WCAL,White-capped Albatross
WCHP,White-cheeked Pintail
WCPE,White-chinned Petrel
WCHS,White-chinned Swift
WCTH,White-chinned Thrush
WCOM,White-collared Manakin
WCSW,White-collared Swift
WCCO,White-crested Coquette
WCEL,White-crested Elaenia
WCRM,White-crowned Manakin
WCPA,White-crowned Parrot
WCPI,White-crowned Pigeon
WCSP,White-crowned Sparrow
WECO,White-eared Conebill
WEGS,White-eared Ground-Sparrow
WEHU,White-eared Hummingbird
WETH,White-eyed Thrush
WEVI,White-eyed Vireo
WFGS,White-faced Ground-Sparrow
WFIB,White-faced Ibis
WFAQ,White-faced Quail-Dove
WFSP,White-faced Storm-Petrel
WFWD,White-faced Whistling-Duck
WFLA,White-flanked Antwren
WFRA,White-fringed Antwren
WFAM,White-fronted Amazon
WFNU,White-fronted Nunbird
WFRQ,White-fronted Quail-Dove
WFSW,White-fronted Swift
WFTY,White-fronted Tyrannulet
WHWO,White-headed Woodpecker
WHWR,White-headed Wren
WLTA,White-lined Tanager
WLGN,White-lored Gnatcatcher
WNBR,White-naped Brushfinch
WNSW,White-naped Swift
WNCR,White-necked Crow
WNJA,White-necked Jacobin
WNPE,White-necked Petrel
WNPU,White-necked Puffbird
WRFL,White-ringed Flycatcher
WRMA,White-ruffed Manakin
WRSA,White-rumped Sandpiper
WRSH,White-rumped Shama
WHTH,White's Thrush
WSTA,White-shouldered Tanager
WSWO,White-striped Woodcreeper
WTEA,White-tailed Eagle
WTEM,White-tailed Emerald
WTHA,White-tailed Hawk
WTAH,White-tailed Hummingbird
WTKI,White-tailed Kite
WTNI,White-tailed Nightjar
WTPT,White-tailed Ptarmigan
WTAT,White-tailed Trogon
WTTR,White-tailed Tropicbird
WTGS,White-thighed Swallow
WTCR,White-throated Crake
WTFL,White-throated Flycatcher
WTJA,White-throated Jay
WTMJ,White-throated Magpie-Jay
WTMG,White-throated Mountain-gem
WTNE,White-throated Needletail
WTST,White-throated Shrike-Tanager
WTRS,White-throated Spadebill
WTSP,White-throated Sparrow
WTSW,White-throated Swift
WTTH,White-throated Thrush
WTTO,White-throated Towhee
WTDO,White-tipped Dove
WTSI,White-tipped Sicklebill
WVEU,White-vented Euphonia
WVPL,White-vented Plumeleteer
WWPU,White-whiskered Puffbird
WWBE,White-winged Becard
WWCR,White-winged Crossbill
WWDO,White-winged Dove
WWJU,White-winged Junco
WWPA,White-winged Parakeet
WWSC,White-winged Scoter
WWTA,White-winged Tanager
WWTE,White-winged Tern
WWWA,White-winged Warbler
WHOS,Whooper Swan
WHCR,Whooping Crane
WHMO,Whooping Motmot
WITU,Wild Turkey
WILL,Willet
WISA,Williamson's Sapsucker
WIFL,Willow Flycatcher
WIPT,Willow Ptarmigan
WILW,Willow Warbler
WIPH,Wilson's Phalarope
WIPL,Wilson's Plover
WISN,Wilson's Snipe
WISP,Wilson's Storm-Petrel
WIWA,Wilson's Warbler
WTHH,Wine-throated Hummingbird
WBAA,Wing-banded Antbird
WIWR,Winter Wren
WODU,Wood Duck
WOSA,Wood Sandpiper
WOST,Wood Stork
WOTH,Wood Thrush
WOWA,Wood Warbler
WOSJ,Woodhouse's Scrub-Jay
WEWA,Worm-eating Warbler
WOSP,Worthen's Sparrow
WRET,Wrenthrush
WREN,Wrentit
XAHU,Xantus's Hummingbird
YEBI,Yellow Bittern
YEGR,Yellow Grosbeak
YPWA,Yellow Palm Warbler
YERA,Yellow Rail
YETY,Yellow Tyrannulet
YEWA,Yellow Warbler
YBOR,Yellow-backed Oriole
YBTA,Yellow-backed Tanager
YBEL,Yellow-bellied Elaenia
YBFL,Yellow-bellied Flycatcher
YBSA,Yellow-bellied Sapsucker
YBSE,Yellow-bellied Seedeater
YBSI,Yellow-bellied Siskin
YBTY,Yellow-bellied Tyrannulet
YBAM,Yellow-billed Amazon
YBIC,Yellow-billed Cacique
YBCA,Yellow-billed Cardinal
YBCO,Yellow-billed Cotinga
YBCU,Yellow-billed Cuckoo
YBLO,Yellow-billed Loon
YBMA,Yellow-billed Magpie
YBTE,Yellow-billed Tern
YBSB,Yellow-breasted Bunting
YBCH,Yellow-breasted Chat
YBCR,Yellow-breasted Crake
YBWB,Yellow-browed Bunting
YBSV,Yellow-browed Shrike-Vireo
YBWA,Yellow-browed Warbler
YCPA,Yellow-chevroned Parakeet
YCCH,Yellow-collared Chlorophonia
YCAM,Yellow-crowned Amazon
YCBI,Yellow-crowned Bishop
YCEU,Yellow-crowned Euphonia
YCNH,Yellow-crowned Night Heron
YCTY,Yellow-crowned Tyrannulet
YETO,Yellow-eared Toucanet
YEJU,Yellow-eyed Junco
YFGR,Yellow-faced Grassquit
YFGU,Yellow-footed Gull
YFCA,Yellow-fronted Canary
YGBR,Yellow-green Brushfinch
YGGR,Yellow-green Grosbeak
YGTY,Yellow-green Tyrannulet
YGVI,Yellow-green Vireo
YHAM,Yellow-headed Amazon
YHBL,Yellow-headed Blackbird
YHCA,Yellow-headed Caracara
YHWA,Yellow-headed Warbler
YHOB,Yellow-hooded Blackbird
YEFL,Yellowish Flycatcher
YEPI,Yellowish Pipit
YLGU,Yellow-legged Gull
YLAM,Yellow-lored Amazon
YNAM,Yellow-naped Amazon
YNAL,Yellow-nosed Albatross
YOFL,Yellow-olive Flatbill
YRCA,Yellow-rumped Cacique
YRWA,Yellow-rumped Warbler
YSFL,Yellow-shafted Flicker
YSBL,Yellow-shouldered Blackbird
YSGR,Yellow-shouldered Grassquit
YTOR,Yellow-tailed Oriole
YTBR,Yellow-thighed Brushfinch
YTBU,Yellow-throated Bunting
YTCH,Yellow-throated Chlorospingus
YTEU,Yellow-throated Euphonia
YTNT,Yellow-throated Nightingale-Thrush
YTTO,Yellow-throated Toucan
YTVI,Yellow-throated Vireo
YTWA,Yellow-throated Warbler
YWCA,Yellow-winged Cacique
YWFL,Yellow-winged Flatbill
YWTA,Yellow-winged Tanager
YWVI,Yellow-winged Vireo
YUFL,Yucatan Flycatcher
YUGN,Yucatan Gnatcatcher
YUJA,Yucatan Jay
YUNI,Yucatan Nightjar
YUPO,Yucatan Poorwill
YUVI,Yucatan Vireo
YUWO,Yucatan Woodpecker
YUWR,Yucatan Wren
YRRA,Yuma Ridgway's Rail
ZARA,Zapata Rail
ZASP,Zapata Sparrow
ZAWR,Zapata Wren
ZEBD,Zebra Dove
ZEAN,Zeledon's Antbird
ZEND,Zenaida Dove
ZIPE,Zino's Petrel
ZTHA,Zone-tailed Hawk
ZSHY,Zonotrichia Sparrow Hybrid
CUPS,Cup-shaped sparrow call type
SWLI,Swamp/Lincoln's sparrow call type
SFHS,Song/Fox/Harris's sparrow call type
HSSP,High-sibilant sparrow call type
SBUF,Single-banded up/flat warbler call type
DESP,Descending sparrow call type
DEWA,Descending warbler call type
BUNT,Bunting group call type
GROS,Grosbeak group call type
THSH,Thrush group call type
GCBI,Gray-cheeked/Bicknell's thrush call type
ZEEP,‘Zeep' warbler call type
DBUP,Double-banded up-sweep warbler call type
BZWA,Buzzy warbler call type
CCBRS,Clay-colored/Brewer's sparrow call type
MWAR,MacGillivray's/Mourning warbler call type
TANA,Tanager group call type
BLUEB,Bluebird call type
